County,lbs,Rank,Year
El Dorado,193053,42,2007
Fresno,26013286,1,2007
Glenn,2301269,20,2007
Humboldt,57950,46,2007
Imperial,5049024,11,2007
Inyo,2328,56,2007
Kern,25984379,2,2007
Kings,5651973,10,2007
Lake,571885,35,2007
Lassen,40027,49,2007
Los Angeles,2517364,18,2007
Madera,8965193,5,2007
Marin,46887,47,2007
Mariposa,8985,54,2007
Mendocino,1946646,22,2007
Merced,7068429,7,2007
Modoc,163780,43,2007
Mono,1274,57,2007
Monterey,8543087,6,2007
Napa,1648774,25,2007
Nevada,92450,45,2007
Orange,1129631,28,2007
Placer,295836,39,2007
Plumas,21902,51,2007
Riverside,2638581,17,2007
Sacramento,3265539,13,2007
San Benito,653829,33,2007
San Bernardino,373281,36,2007
San Diego,1477784,26,2007
San Francisco,14935,52,2007
San Joaquin,9135807,4,2007
San Luis Obispo,1887416,23,2007
San Mateo,290190,40,2007
Santa Barbara,4485300,12,2007
Santa Clara,931918,31,2007
Santa Cruz,1843778,24,2007
Shasta,336292,37,2007
Sierra,8338,55,2007
Siskiyou,1317335,27,2007
Solano,813654,32,2007
Sonoma,2702102,16,2007
Stanislaus,5818539,9,2007
Sutter,2813006,15,2007
Tehama,1088398,30,2007
Trinity,9929,53,2007
Tulare,15317559,3,2007
Tuolumne,27890,50,2007
Ventura,6214628,8,2007
Yolo,2459795,19,2007
Yuba,1102630,29,2007
Alameda,259013,41,2006
Alpine,64,58,2006
Amador,92679,45,2006
Butte,3445277,13,2006
Calaveras,49205,50,2006
Colusa,2100392,22,2006
Contra Costa,2218546,21,2006
Del Norte,307890,40,2006
El Dorado,113738,43,2006
Fresno,31839898,1,2006
Glenn,2476359,20,2006
Humboldt,70769,47,2006
Imperial,4820543,11,2006
Inyo,16839,52,2006
Kern,30104107,2,2006
Kings,6190881,9,2006
Lake,525120,36,2006
Lassen,96273,44,2006
Los Angeles,2641098,17,2006
Madera,9737491,5,2006
Marin,58341,49,2006
Mariposa,7445,54,2006
Mendocino,1094588,30,2006
Merced,7329441,7,2006
Modoc,199366,42,2006
Mono,4354,57,2006
Monterey,8209012,6,2006
Napa,1505776,26,2006
Nevada,59993,48,2006
Orange,1264641,29,2006
Placer,327779,39,2006
Plumas,7047,55,2006
Riverside,2602434,18,2006
Sacramento,3294073,14,2006
San Benito,751580,34,2006
San Bernardino,576005,35,2006
San Diego,2013072,24,2006
San Francisco,88393,46,2006
San Joaquin,11295680,4,2006
San Luis Obispo,2086420,23,2006
San Mateo,365491,38,2006
Santa Barbara,4072266,12,2006
Santa Clara,1388327,28,2006
Santa Cruz,1722369,25,2006
Shasta,371317,37,2006
Sierra,6661,56,2006
Siskiyou,949326,31,2006
Solano,791365,33,2006
Sonoma,2531626,19,2006
Stanislaus,5590622,10,2006
Sutter,3156692,15,2006
Tehama,823095,32,2006
Trinity,10621,53,2006
Tulare,16985444,3,2006
Tuolumne,28397,51,2006
Ventura,6862378,8,2006
Yolo,2648416,16,2006
Yuba,1390902,27,2006
Alameda,358443,39,2005
Alpine,195,58,2005
